"tip","time","weekday","distance","duration_min","points","deliveries_count","fare","month","time_sin","time_cos","geo_distance","speed","geo_speed"
3,10.5,2,5.07,28.4333333333333,4,2,11.08,8,-0.707106781186548,0.707106781186547,5.8302177073835,0.17831184056272,0.205048688419115
10.44,19.5,2,8.37,37.2,12,2,5.14,8,-0.707106781186547,-0.707106781186548,3.27564063828194,0.225,0.0880548558677942
8.14,0.5,6,3.38,20.5333333333333,1,1,3.12,7,0.258819045102521,0.965925826289068,1.44189569214776,0.16461038961039,0.0702221927994037
10.73,1.5,6,4.35,31.7833333333333,2,1,8.43,7,0.707106781186547,0.707106781186548,2.71179751912727,0.136864184583115,0.0853213692436476
9.52,2.5,6,2.21,26.2,1,1,3.02,7,0.965925826289068,0.258819045102521,2.75776428524039,0.0843511450381679,0.105258178825969
2,3.5,6,11.39,28.4166666666667,1,1,17.56,7,0.965925826289068,-0.258819045102521,4.43675202657948,0.400821114369501,0.156132036125964
4.04,3.5,6,11.45,28.7666666666667,1,1,10.57,7,0.965925826289068,-0.258819045102521,2.70345458888454,0.398030127462341,0.0939787226726953
5.22,18.5,6,2.08,21.8833333333333,6,1,2.37,7,-0.25881904510252,-0.965925826289068,0.115006100943937,0.0950495049504951,0.00525541969279226
2,19,6,3.15,26.6666666666667,6,1,4.06,7,-0.499999999999999,-0.866025403784439,1.48566460660593,0.118125,0.0557124227477224
11.32,21,6,4.09,25.7833333333333,8,1,9.75,7,-1,-4.28626379701574e-16,5.28734020433535,0.158629605688429,0.205068139793226
5.01,1,4,0.7,19.65,1,1,2,6,0.5,0.866025403784439,0.789823301498068,0.0356234096692112,0.0401945700507923
6,10.5,4,16.52,54.7166666666667,6,2,9.4,6,-0.707106781186548,0.707106781186547,5.43270311935293,0.301918976545842,0.0992879034910678
5.23,11.5,4,6.33,29.9833333333333,3,1,4.32,6,-0.258819045102522,0.965925826289068,2.39040510849526,0.211117287381879,0.0797244616507591
5.07,15.5,4,1.57,22.9333333333333,1,1,3.27,6,0.965925826289068,-0.25881904510252,0.720549044804142,0.0684593023255814,0.0314192897443666
9.82,16,4,5.5,44.6333333333333,2,2,8.48,6,0.866025403784439,-0.499999999999999,2.25996592220487,0.123226288274832,0.0506340385856206
14.6,18,4,4.96,43.3333333333333,12,3,6.02,6,3.67394039744206e-16,-1,2.75743189867168,0.114461538461538,0.0636330438155002
5,18.5,4,3.82,20.8166666666667,6,1,3.41,6,-0.25881904510252,-0.965925826289068,2.1911496850313,0.183506805444356,0.105259392395419
12.49,19,4,2.77,24.7333333333333,6,2,2.7,6,-0.499999999999999,-0.866025403784439,1.20907114855103,0.11199460916442,0.0488842782433032
6,19.5,4,5.83,28.3166666666667,6,1,3.31,6,-0.707106781186547,-0.707106781186548,2.59853152019897,0.205885815185403,0.0917668576880155
5,9.5,3,14.38,47.2166666666667,1,1,6.24,3,-0.965925826289068,0.25881904510252,9.09611324577731,0.304553476879633,0.192646238879858
14.65,8,1,1.84,28.0333333333333,1,1,3.15,5,-0.866025403784438,-0.5,1.03993828639927,0.0656361474435196,0.0370964905968824
28.72,11.5,1,3.05,24.3666666666667,3,2,3.87,5,-0.258819045102522,0.965925826289068,1.79068840997673,0.125170998632011,0.0734892644313295
4.48,18,1,3.6,13.3333333333333,6,1,3.57,5,3.67394039744206e-16,-1,2.35837005429459,0.27,0.176877754072094
8.51,8,5,10.58,37.0833333333333,0,2,6.83,9,-0.866025403784438,-0.5,5.4047330979419,0.285303370786517,0.145745611629894
13.37,9,5,7.09,45.0666666666667,0,3,9.63,9,-1,-1.83697019872103e-16,2.98844341963642,0.157322485207101,0.0663116143410448
24.17,17,5,10.1,43,12,3,8.14,9,0.5,-0.866025403784439,2.3494010364558,0.234883720930233,0.0546372334059488
5.93,18,5,7.97,23.05,6,1,8.77,9,3.67394039744206e-16,-1,6.84592912732983,0.345770065075922,0.297003432855958
3,18.5,5,1.52,10.15,6,1,3.03,9,-0.25881904510252,-0.965925826289068,0.71654056046447,0.149753694581281,0.0705951291098
